name,type,description
SKEW.P ,Statistical,Returns the skewness of a distribution based on a population: a characterization of the degree of asymmetry of a distribution around its mean
SLOPE,Statistical,Returns the slope of the linear regression line
SMALL,Statistical,Returns the k-th smallest value in a data set
STANDARDIZE,Statistical,Returns a normalized value
STDEV.P ,Statistical,Calculates standard deviation based on the entire population
STDEV.S ,Statistical,Estimates standard deviation based on a sample
STDEVA,Statistical,"Estimates standard deviation based on a sample, including numbers, text, and logical values"
STDEVPA,Statistical,"Calculates standard deviation based on the entire population, including numbers, text, and logical values"
STEYX,Statistical,Returns the standard error of the predicted y-value for each x in the regression
T.DIST ,Statistical,Returns the Percentage Points (probability) for the Student t-distribution
T.DIST.2T ,Statistical,Returns the Percentage Points (probability) for the Student t-distribution
T.DIST.RT ,Statistical,Returns the Student's t-distribution
T.INV ,Statistical,Returns the t-value of the Student's t-distribution as a function of the probability and the degrees of freedom
T.INV.2T ,Statistical,Returns the inverse of the Student's t-distribution
T.TEST ,Statistical,Returns the probability associated with a Student's t-test
TREND,Statistical,Returns values along a linear trend
TRIMMEAN,Statistical,Returns the mean of the interior of a data set
VAR.P ,Statistical,Calculates variance based on the entire population
VAR.S ,Statistical,Estimates variance based on a sample
VARA,Statistical,"Estimates variance based on a sample, including numbers, text, and logical values"
VARPA,Statistical,"Calculates variance based on the entire population, including numbers, text, and logical values"
WEIBULL.DIST ,Statistical,Returns the Weibull distribution
Z.TEST ,Statistical,Returns the one-tailed probability-value of a z-test
ASC,Text,Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters
BAHTTEXT,Text,"Converts a number to text, using the ß (baht) currency format"
CHAR,Text,Returns the character specified by the code number
CLEAN,Text,Removes all nonprintable characters from text
CODE,Text,Returns a numeric code for the first character in a text string
CONCAT ,Text,"Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments. NOTE: This function isn't available in Excel 2016 for Mac."
CONCATENATE,Text,Joins several text items into one text item
DBCS ,Text,Changes half-width (single-byte) English letters or katakana within a character string to full-width (double-byte) characters
DOLLAR,Text,"Converts a number to text, using the $ (dollar) currency format"
EXACT,Text,Checks to see if two text values are identical
"FIND, FINDBs",Text,Finds one text value within another (case-sensitive)
FIXED,Text,Formats a number as text with a fixed number of decimals
JIS,Text,   Changes half-width (single-byte) characters within a string to full-width (double-byte) characters
"LEFT, LEFTBs",Text,Returns the leftmost characters from a text value
"LEN, LENBs",Text,Returns the number of characters in a text string
LOWER,Text,Converts text to lowercase
"MID, MIDBs",Text,Returns a specific number of characters from a text string starting at the position you specify
NUMBERVALUE ,Text,Converts text to number in a locale-independent manner
PHONETIC,Text,Extracts the phonetic (furigana) characters from a text string
PROPER,Text,Capitalizes the first letter in each word of a text value
"REPLACE, REPLACEBs",Text,Replaces characters within text
REPT,Text,Repeats text a given number of times
"RIGHT, RIGHTBs",Text,Returns the rightmost characters from a text value
"SEARCH, SEARCHBs",Text,Finds one text value within another (not case-sensitive)
SUBSTITUTE,Text,Substitutes new text for old text in a text string
T,Text,Converts its arguments to text
TEXT,Text,Formats a number and converts it to text
TEXTJOIN ,Text,"Combines the text from multiple ranges and/or strings, and includes a delimiter you specify between each text value that will be combined. If the delimiter is an empty text string, this function will effectively concatenate the ranges. NOTE: This function isn't available in Excel 2016 for Mac."
TRIM,Text,Removes spaces from text
UNICHAR ,Text,Returns the Unicode character that is references by the given numeric value
UNICODE ,Text,Returns the number (code point) that corresponds to the first character of the text
UPPER,Text,Converts text to uppercase
VALUE,Text,Converts a text argument to a number
ENCODEURL ,Web,Returns a URL-encoded string NOTE:  This function is not available in Excel Online.
FILTERXML ,Web,Returns specific data from the XML content by using the specified Xpath NOTE:  This function is not available in Excel Online.
WEBSERVICE ,Web,Returns data from a web service. NOTE:  This function is not available in Excel Online.
